Statistic Label,Electoral Division,Name,County,Year,Unit,Income
Household median gross income,2001,Arran Quay A, Dublin City,2016,Euro,40293
Household median gross income,2002,Arran Quay B, Dublin City,2016,Euro,40554
Household median gross income,2003,Arran Quay C, Dublin City,2016,Euro,48005
Household median gross income,2004,Arran Quay D, Dublin City,2016,Euro,40641
Household median gross income,2005,Arran Quay E, Dublin City,2016,Euro,41733
Household median gross income,2006,Ashtown A, Dublin City,2016,Euro,63947
Household median gross income,2007,Ashtown B, Dublin City,2016,Euro,62947
Household median gross income,2008,Ayrfield, Dublin City,2016,Euro,47567
Household median gross income,2009,Ballybough A, Dublin City,2016,Euro,31504
Household median gross income,2010,Ballybough B, Dublin City,2016,Euro,34109
Household median gross income,2011,Ballygall A, Dublin City,2016,Euro,45686
Household median gross income,2012,Ballygall B, Dublin City,2016,Euro,38455
Household median gross income,2013,Ballygall C, Dublin City,2016,Euro,50531
Household median gross income,2014,Ballygall D, Dublin City,2016,Euro,48264
Household median gross income,2015,Ballymun A, Dublin City,2016,Euro,43696
Household median gross income,2016,Ballymun B, Dublin City,2016,Euro,32891
Household median gross income,2017,Ballymun C, Dublin City,2016,Euro,35408
Household median gross income,2018,Ballymun D, Dublin City,2016,Euro,29001
Household median gross income,2019,Ballymun E, Dublin City,2016,Euro,56725
Household median gross income,2020,Ballymun F, Dublin City,2016,Euro,51818
Household median gross income,2021,Beaumont A, Dublin City,2016,Euro,46176
Household median gross income,2022,Beaumont B, Dublin City,2016,Euro,55941
Household median gross income,2023,Beaumont C, Dublin City,2016,Euro,47292
Household median gross income,2024,Beaumont D, Dublin City,2016,Euro,65982
Household median gross income,2025,Beaumont E, Dublin City,2016,Euro,49943
Household median gross income,2026,Beaumont F, Dublin City,2016,Euro,59198
Household median gross income,2027,Botanic A, Dublin City,2016,Euro,54579
Household median gross income,2028,Botanic B, Dublin City,2016,Euro,62621
Household median gross income,2029,Botanic C, Dublin City,2016,Euro,56164
Household median gross income,2030,Cabra East A, Dublin City,2016,Euro,48238
Household median gross income,2031,Cabra East B, Dublin City,2016,Euro,37486
Household median gross income,2032,Cabra East C, Dublin City,2016,Euro,37516
Household median gross income,2033,Cabra West A, Dublin City,2016,Euro,40853
Household median gross income,2034,Cabra West B, Dublin City,2016,Euro,34222
Household median gross income,2035,Cabra West C, Dublin City,2016,Euro,41250
Household median gross income,2036,Cabra West D, Dublin City,2016,Euro,52257
Household median gross income,2037,Clontarf East A, Dublin City,2016,Euro,56483
Household median gross income,2038,Clontarf East B, Dublin City,2016,Euro,68864
Household median gross income,2039,Clontarf East C, Dublin City,2016,Euro,70556
Household median gross income,2040,Clontarf East D, Dublin City,2016,Euro,69150
Household median gross income,2041,Clontarf East E, Dublin City,2016,Euro,74484
Household median gross income,2042,Clontarf West A, Dublin City,2016,Euro,58613
Household median gross income,2043,Clontarf West B, Dublin City,2016,Euro,42873
Household median gross income,2044,Clontarf West C, Dublin City,2016,Euro,66068
Household median gross income,2045,Clontarf West D, Dublin City,2016,Euro,48075
Household median gross income,2046,Clontarf West E, Dublin City,2016,Euro,62601
Household median gross income,2047,Drumcondra South A, Dublin City,2016,Euro,63028
Household median gross income,2048,Drumcondra South B, Dublin City,2016,Euro,48970
Household median gross income,2049,Drumcondra South C, Dublin City,2016,Euro,55909
Household median gross income,2050,Edenmore, Dublin City,2016,Euro,37756
Household median gross income,2051,Finglas North A, Dublin City,2016,Euro,37594
Household median gross income,2052,Finglas North B, Dublin City,2016,Euro,35123
Household median gross income,2053,Finglas North C, Dublin City,2016,Euro,45740
Household median gross income,2054,Finglas South A, Dublin City,2016,Euro,35349
Household median gross income,2055,Finglas South B, Dublin City,2016,Euro,37717
Household median gross income,2056,Finglas South C, Dublin City,2016,Euro,35801
Household median gross income,2057,Finglas South D, Dublin City,2016,Euro,38353
Household median gross income,2058,Grace Park, Dublin City,2016,Euro,62220
Household median gross income,2059,Grange A, Dublin City,2016,Euro,56740
Household median gross income,2060,Grange B, Dublin City,2016,Euro,52073
Household median gross income,2061,Grange C, Dublin City,2016,Euro,42326
Household median gross income,2062,Grange D, Dublin City,2016,Euro,49145
Household median gross income,2063,Grange E, Dublin City,2016,Euro,42679
Household median gross income,2064,Harmonstown A, Dublin City,2016,Euro,45732
Household median gross income,2065,Harmonstown B, Dublin City,2016,Euro,50960
Household median gross income,2066,Inns Quay A, Dublin City,2016,Euro,41620
Household median gross income,2067,Inns Quay B, Dublin City,2016,Euro,33680
Household median gross income,2068,Inns Quay C, Dublin City,2016,Euro,32561
Household median gross income,2069,Kilmore A, Dublin City,2016,Euro,53567
Household median gross income,2070,Kilmore B, Dublin City,2016,Euro,35158
Household median gross income,2071,Kilmore C, Dublin City,2016,Euro,34210
Household median gross income,2072,Kilmore D, Dublin City,2016,Euro,43228
Household median gross income,2073,Mountjoy A, Dublin City,2016,Euro,31890
Household median gross income,2074,Mountjoy B, Dublin City,2016,Euro,29090
Household median gross income,2075,North City, Dublin City,2016,Euro,44053
Household median gross income,2076,North Dock A, Dublin City,2016,Euro,44197
Household median gross income,2077,North Dock B, Dublin City,2016,Euro,56062
Household median gross income,2078,North Dock C, Dublin City,2016,Euro,48549
Household median gross income,2079,Phoenix Park, Dublin City,2016,Euro,60561
Household median gross income,2080,Priorswood A, Dublin City,2016,Euro,48724
Household median gross income,2081,Priorswood B, Dublin City,2016,Euro,38195
Household median gross income,2082,Priorswood C, Dublin City,2016,Euro,37776
Household median gross income,2083,Priorswood D, Dublin City,2016,Euro,38127
Household median gross income,2084,Priorswood E, Dublin City,2016,Euro,47092
Household median gross income,2085,Raheny-Foxfield, Dublin City,2016,Euro,56204
Household median gross income,2086,Raheny-Greendale, Dublin City,2016,Euro,43275
Household median gross income,2087,Raheny-St. Assam, Dublin City,2016,Euro,58684
Household median gross income,2088,Rotunda A, Dublin City,2016,Euro,30822
Household median gross income,2089,Rotunda B, Dublin City,2016,Euro,33021
Household median gross income,2090,Whitehall A, Dublin City,2016,Euro,53018
Household median gross income,2091,Whitehall B, Dublin City,2016,Euro,45957
Household median gross income,2092,Whitehall C, Dublin City,2016,Euro,48169
Household median gross income,2093,Whitehall D, Dublin City,2016,Euro,50770
Household median gross income,2094,Chapelizod, Dublin City,2016,Euro,57021
Household median gross income,2095,Cherry Orchard A, Dublin City,2016,Euro,38117
Household median gross income,2096,Carna, Dublin City,2016,Euro,35044
Household median gross income,2097,Cherry Orchard C, Dublin City,2016,Euro,41881
Household median gross income,2098,Crumlin A, Dublin City,2016,Euro,41041
Household median gross income,2099,Crumlin B, Dublin City,2016,Euro,38444
Household median gross income,2100,Crumlin C, Dublin City,2016,Euro,42066
Household median gross income,2101,Crumlin D, Dublin City,2016,Euro,40746
Household median gross income,2102,Crumlin E, Dublin City,2016,Euro,38083
Household median gross income,2103,Crumlin F, Dublin City,2016,Euro,45259
Household median gross income,2104,Decies, Dublin City,2016,Euro,34826
Household median gross income,2105,Drumfinn, Dublin City,2016,Euro,36250
Household median gross income,2106,Inchicore A, Dublin City,2016,Euro,41553
Household median gross income,2107,Inchicore B, Dublin City,2016,Euro,30084
Household median gross income,2108,Kilmainham A, Dublin City,2016,Euro,35193
Household median gross income,2109,Kilmainham B, Dublin City,2016,Euro,56245
Household median gross income,2110,Kilmainham C, Dublin City,2016,Euro,42591
Household median gross income,2111,Kimmage A, Dublin City,2016,Euro,39108
Household median gross income,2112,Kimmage B, Dublin City,2016,Euro,39006
Household median gross income,2113,Kimmage C, Dublin City,2016,Euro,56043
Household median gross income,2114,Kimmage D, Dublin City,2016,Euro,44424
Household median gross income,2115,Kimmage E, Dublin City,2016,Euro,45051
Household median gross income,2116,Kylemore, Dublin City,2016,Euro,35168
Household median gross income,2117,Mansion House A, Dublin City,2016,Euro,35885
Household median gross income,2118,Mansion House B, Dublin City,2016,Euro,57247
Household median gross income,2119,Merchants Quay A, Dublin City,2016,Euro,32881
Household median gross income,2120,Merchants Quay B, Dublin City,2016,Euro,42329
Household median gross income,2121,Merchants Quay C, Dublin City,2016,Euro,37692
Household median gross income,2122,Merchants Quay D, Dublin City,2016,Euro,52524
Household median gross income,2123,Merchants Quay E, Dublin City,2016,Euro,47353
Household median gross income,2124,Merchants Quay F, Dublin City,2016,Euro,36526
Household median gross income,2125,Pembroke East A, Dublin City,2016,Euro,52841
Household median gross income,2126,Pembroke East B, Dublin City,2016,Euro,76865
Household median gross income,2127,Pembroke East C, Dublin City,2016,Euro,80154
Household median gross income,2128,Pembroke East D, Dublin City,2016,Euro,69820
Household median gross income,2129,Pembroke East E, Dublin City,2016,Euro,89620
Household median gross income,2130,Pembroke West A, Dublin City,2016,Euro,78000
Household median gross income,2131,Pembroke West B, Dublin City,2016,Euro,85780
Household median gross income,2132,Pembroke West C, Dublin City,2016,Euro,67714
Household median gross income,2133,Rathfarnham, Dublin City,2016,Euro,72432
Household median gross income,2134,Rathmines East A, Dublin City,2016,Euro,63520
Household median gross income,2135,Rathmines East B, Dublin City,2016,Euro,88134
Household median gross income,2136,Rathmines East C, Dublin City,2016,Euro,79917
Household median gross income,2137,Rathmines East D, Dublin City,2016,Euro,69205
Household median gross income,2138,Rathmines West A, Dublin City,2016,Euro,44478
Household median gross income,2139,Rathmines West B, Dublin City,2016,Euro,48247
Household median gross income,2140,Rathmines West C, Dublin City,2016,Euro,67974
Household median gross income,2141,Rathmines West D, Dublin City,2016,Euro,54690
Household median gross income,2142,Rathmines West E, Dublin City,2016,Euro,60649
Household median gross income,2143,Rathmines West F, Dublin City,2016,Euro,54702
Household median gross income,2144,Royal Exchange A, Dublin City,2016,Euro,41119
Household median gross income,2145,Royal Exchange B, Dublin City,2016,Euro,28367
Household median gross income,2146,St. Kevin's, Dublin City,2016,Euro,49822
Household median gross income,2147,South Dock, Dublin City,2016,Euro,76331
Household median gross income,2148,Terenure A, Dublin City,2016,Euro,57234
Household median gross income,2149,Terenure B, Dublin City,2016,Euro,61432
Household median gross income,2150,Terenure C, Dublin City,2016,Euro,84266
Household median gross income,2151,Terenure D, Dublin City,2016,Euro,96130
Household median gross income,2152,Ushers A, Dublin City,2016,Euro,67561
Household median gross income,2153,Ushers B, Dublin City,2016,Euro,38143
Household median gross income,2154,Ushers C, Dublin City,2016,Euro,35760
Household median gross income,2155,Ushers D, Dublin City,2016,Euro,36346
Household median gross income,2156,Ushers E, Dublin City,2016,Euro,32750
Household median gross income,2157,Ushers F, Dublin City,2016,Euro,54596
Household median gross income,2158,Walkinstown A, Dublin City,2016,Euro,46842
Household median gross income,2159,Walkinstown B, Dublin City,2016,Euro,43510
Household median gross income,2160,Walkinstown C, Dublin City,2016,Euro,41360
Household median gross income,2161,Wood Quay A, Dublin City,2016,Euro,25627
Household median gross income,2162,Wood Quay B, Dublin City,2016,Euro,41864
Household median gross income,3001,Ballinascorney, South Dublin,2016,Euro,41878
Household median gross income,3002,Ballyboden, South Dublin,2016,Euro,76162
Household median gross income,3003,Bohernabreena, South Dublin,2016,Euro,58160
Household median gross income,3004,Clondalkin-Ballymount, South Dublin,2016,Euro,58067
Household median gross income,3005,Clondalkin-Cappaghmore, South Dublin,2016,Euro,33283
Household median gross income,3006,Clondalkin-Dunawley, South Dublin,2016,Euro,40346
Household median gross income,3007,Clondalkin-Monastery, South Dublin,2016,Euro,49997
Household median gross income,3008,Clondalkin-Moorfield, South Dublin,2016,Euro,42220
Household median gross income,3009,Clondalkin-Rowlagh, South Dublin,2016,Euro,38089
Household median gross income,3010,Clondalkin Village, South Dublin,2016,Euro,48837
Household median gross income,3011,Edmondstown, South Dublin,2016,Euro,57632
Household median gross income,3012,Firhouse-Ballycullen, South Dublin,2016,Euro,81556
Household median gross income,3013,Firhouse-Knocklyon, South Dublin,2016,Euro,70480
Household median gross income,3014,Firhouse Village, South Dublin,2016,Euro,63175
Household median gross income,3015,Lucan-Esker, South Dublin,2016,Euro,64278
Household median gross income,3016,Lucan Heights, South Dublin,2016,Euro,56903
Household median gross income,3017,Lucan-St. Helen's, South Dublin,2016,Euro,60312
Household median gross income,3018,Newcastle, South Dublin,2016,Euro,57273
Household median gross income,3019,Palmerston Village, South Dublin,2016,Euro,47352
Household median gross income,3020,Palmerston West, South Dublin,2016,Euro,53190
Household median gross income,3021,Rathcoole, South Dublin,2016,Euro,59582
Household median gross income,3022,Rathfarnham-Ballyroan, South Dublin,2016,Euro,64915
Household median gross income,3023,Rathfarnham-Butterfield, South Dublin,2016,Euro,69760
Household median gross income,3024,Rathfarnham-Hermitage, South Dublin,2016,Euro,80530
Household median gross income,3025,Rathfarnham-St. Enda's, South Dublin,2016,Euro,65485
Household median gross income,3026,Rathfarnham Village, South Dublin,2016,Euro,67965
Household median gross income,3027,Saggart, South Dublin,2016,Euro,55179
Household median gross income,3028,Tallaght-Avonbeg, South Dublin,2016,Euro,36623
Household median gross income,3029,Tallaght-Belgard, South Dublin,2016,Euro,52863
Household median gross income,3030,Tallaght-Fettercairn, South Dublin,2016,Euro,36576
Household median gross income,3031,Tallaght-Glenview, South Dublin,2016,Euro,43622
Household median gross income,3032,Tallaght-Jobstown, South Dublin,2016,Euro,42775
Household median gross income,3033,Tallaght-Killinardan, South Dublin,2016,Euro,35993
Household median gross income,3034,Tallaght-Kilnamanagh, South Dublin,2016,Euro,54969
Household median gross income,3035,Tallaght-Kiltipper, South Dublin,2016,Euro,43495
Household median gross income,3036,Tallaght-Kingswood, South Dublin,2016,Euro,49299
Household median gross income,3037,Tallaght-Millbrook, South Dublin,2016,Euro,41703
Household median gross income,3038,Tallaght-Oldbawn, South Dublin,2016,Euro,48745
Household median gross income,3039,Tallaght-Springfield, South Dublin,2016,Euro,42677
Household median gross income,3040,Tallaght-Tymon, South Dublin,2016,Euro,39826
Household median gross income,3041,Templeogue-Cypress, South Dublin,2016,Euro,69383
Household median gross income,3042,Templeogue-Kimmage Manor, South Dublin,2016,Euro,80138
Household median gross income,3043,Templeogue-Limekiln, South Dublin,2016,Euro,48073
Household median gross income,3044,Templeogue-Orwell, South Dublin,2016,Euro,66991
Household median gross income,3045,Templeogue-Osprey, South Dublin,2016,Euro,66990
Household median gross income,3046,Templeogue Village, South Dublin,2016,Euro,75466
Household median gross income,3047,Terenure-Cherryfield, South Dublin,2016,Euro,46066
Household median gross income,3048,Terenure-Greentrees, South Dublin,2016,Euro,50678
Household median gross income,3049,Terenure-St. James, South Dublin,2016,Euro,38875
Household median gross income,4001,Airport, Fingal,2016,Euro,52482
Household median gross income,4002,Balbriggan Rural, Fingal,2016,Euro,45697
Household median gross income,4003,Balbriggan Urban, Fingal,2016,Euro,42407
Household median gross income,4004,Baldoyle, Fingal,2016,Euro,54984
Household median gross income,4005,Balgriffin, Fingal,2016,Euro,80530
Household median gross income,4006,Ballyboghil, Fingal,2016,Euro,61409
Household median gross income,4007,Balscadden, Fingal,2016,Euro,58510
Household median gross income,4008,Blanchardstown-Abbotstown, Fingal,2016,Euro,62675
Household median gross income,4009,Blanchardstown-Blakestown, Fingal,2016,Euro,58709
Household median gross income,4010,Blanchardstown-Coolmine, Fingal,2016,Euro,45761
Household median gross income,4011,Blanchardstown-Corduff, Fingal,2016,Euro,40192
Household median gross income,4012,Blanchardstown-Delwood, Fingal,2016,Euro,57708
Household median gross income,4013,Blanchardstown-Mulhuddart, Fingal,2016,Euro,42786
Household median gross income,4014,Blanchardstown-Roselawn, Fingal,2016,Euro,53133
Household median gross income,4015,Blanchardstown-Tyrrelstown, Fingal,2016,Euro,34167
Household median gross income,4016,Castleknock-Knockmaroon, Fingal,2016,Euro,79636
Household median gross income,4017,Castleknock-Park, Fingal,2016,Euro,89031
Household median gross income,4018,Clonmethan, Fingal,2016,Euro,59584
Household median gross income,4019,Donabate, Fingal,2016,Euro,65437
Household median gross income,4020,Dubber, Fingal,2016,Euro,52108
Household median gross income,4021,Garristown, Fingal,2016,Euro,52448
Household median gross income,4022,Hollywood, Fingal,2016,Euro,62735
Household median gross income,4023,Holmpatrick, Fingal,2016,Euro,62104
Household median gross income,4024,Howth, Fingal,2016,Euro,68442
Household median gross income,4025,Kilsallaghan, Fingal,2016,Euro,55115
Household median gross income,4026,Kinsaley, Fingal,2016,Euro,60188
Household median gross income,4027,Lucan North, Fingal,2016,Euro,105943
Household median gross income,4028,Lusk, Fingal,2016,Euro,59784
Household median gross income,4029,Malahide East, Fingal,2016,Euro,75514
Household median gross income,4030,Malahide West, Fingal,2016,Euro,77014
Household median gross income,4031,Portmarnock North, Fingal,2016,Euro,69543
Household median gross income,4032,Portmarnock South, Fingal,2016,Euro,64831
Household median gross income,4033,Rush, Fingal,2016,Euro,54842
Household median gross income,4034,Skerries, Fingal,2016,Euro,57676
Household median gross income,4035,Sutton, Fingal,2016,Euro,58475
Household median gross income,4036,Swords-Forrest, Fingal,2016,Euro,64455
Household median gross income,4037,Swords-Glasmore, Fingal,2016,Euro,57926
Household median gross income,4038,Swords-Lissenhall, Fingal,2016,Euro,59577
Household median gross income,4039,Swords-Seatown, Fingal,2016,Euro,72416
Household median gross income,4040,Swords Village, Fingal,2016,Euro,50097
Household median gross income,4041,The Ward, Fingal,2016,Euro,58226
Household median gross income,4042,Turnapin, Fingal,2016,Euro,60132
Household median gross income,5001,Ballinteer-Broadford, Dún Laoghaire-Rathdown,2016,Euro,57994
Household median gross income,5002,Ballinteer-Ludford, Dún Laoghaire-Rathdown,2016,Euro,54693
Household median gross income,5003,Ballinteer-Marley, Dún Laoghaire-Rathdown,2016,Euro,69462
Household median gross income,5004,Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown,2016,Euro,65210
Household median gross income,5005,Ballinteer-Meadowmount, Dún Laoghaire-Rathdown,2016,Euro,44324
Household median gross income,5006,Ballinteer-Woodpark, Dún Laoghaire-Rathdown,2016,Euro,72990
Household median gross income,5007,Ballybrack, Dún Laoghaire-Rathdown,2016,Euro,58667
Household median gross income,5008,Blackrock-Booterstown, Dún Laoghaire-Rathdown,2016,Euro,76600
Household median gross income,5009,Blackrock-Carysfort, Dún Laoghaire-Rathdown,2016,Euro,80185
Household median gross income,5010,Blackrock-Central, Dún Laoghaire-Rathdown,2016,Euro,86896
Household median gross income,5011,Blackrock-Glenomena, Dún Laoghaire-Rathdown,2016,Euro,82452
Household median gross income,5012,Blackrock-Monkstown, Dún Laoghaire-Rathdown,2016,Euro,66619
Household median gross income,5013,Blackrock-Newpark, Dún Laoghaire-Rathdown,2016,Euro,66930
Household median gross income,5014,Blackrock-Seapoint, Dún Laoghaire-Rathdown,2016,Euro,85947
Household median gross income,5015,Blackrock-Stradbrook, Dún Laoghaire-Rathdown,2016,Euro,60325
Household median gross income,5016,Blackrock-Templehill, Dún Laoghaire-Rathdown,2016,Euro,63300
Household median gross income,5017,Blackrock-Williamstown, Dún Laoghaire-Rathdown,2016,Euro,78239
Household median gross income,5018,Cabinteely-Granitefield, Dún Laoghaire-Rathdown,2016,Euro,57737
Household median gross income,5019,Cabinteely-Kilbogget, Dún Laoghaire-Rathdown,2016,Euro,52911
Household median gross income,5020,Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown,2016,Euro,66509
Household median gross income,5021,Cabinteely-Pottery, Dún Laoghaire-Rathdown,2016,Euro,62133
Household median gross income,5022,Churchtown-Castle, Dún Laoghaire-Rathdown,2016,Euro,56114
Household median gross income,5023,Churchtown-Landscape, Dún Laoghaire-Rathdown,2016,Euro,87584
Household median gross income,5024,Churchtown-Nutgrove, Dún Laoghaire-Rathdown,2016,Euro,47686
Household median gross income,5025,Churchtown-Orwell, Dún Laoghaire-Rathdown,2016,Euro,74226
Household median gross income,5026,Churchtown-Woodlawn, Dún Laoghaire-Rathdown,2016,Euro,80628
Household median gross income,5027,Clonskeagh-Belfield, Dún Laoghaire-Rathdown,2016,Euro,31307
Household median gross income,5028,Clonskeagh-Farranboley, Dún Laoghaire-Rathdown,2016,Euro,45294
Household median gross income,5029,Clonskeagh-Milltown, Dún Laoghaire-Rathdown,2016,Euro,91199
Household median gross income,5030,Clonskeagh-Roebuck, Dún Laoghaire-Rathdown,2016,Euro,76324
Household median gross income,5031,Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown,2016,Euro,62834
Household median gross income,5032,Dalkey-Avondale, Dún Laoghaire-Rathdown,2016,Euro,67852
Household median gross income,5033,Dalkey-Bullock, Dún Laoghaire-Rathdown,2016,Euro,63590
Household median gross income,5034,Dalkey-Coliemore, Dún Laoghaire-Rathdown,2016,Euro,50093
Household median gross income,5035,Dalkey Hill, Dún Laoghaire-Rathdown,2016,Euro,55983
Household median gross income,5036,Dalkey Upper, Dún Laoghaire-Rathdown,2016,Euro,78722
Household median gross income,5037,Dundrum-Balally, Dún Laoghaire-Rathdown,2016,Euro,65628
Household median gross income,5038,Dundrum-Kilmacud, Dún Laoghaire-Rathdown,2016,Euro,82715
Household median gross income,5039,Dundrum-Sandyford, Dún Laoghaire-Rathdown,2016,Euro,70871
Household median gross income,5040,Dundrum-Sweetmount, Dún Laoghaire-Rathdown,2016,Euro,65673
Household median gross income,5041,Dundrum-Taney, Dún Laoghaire-Rathdown,2016,Euro,62406
Household median gross income,5042,Dún Laoghaire-East Central, Dún Laoghaire-Rathdown,2016,Euro,49887
Household median gross income,5043,Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown,2016,Euro,54756
Household median gross income,5044,Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown,2016,Euro,65310
Household median gross income,5045,Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown,2016,Euro,49339
Household median gross income,5046,Dún Laoghaire-Mount Town, Dún Laoghaire-Rathdown,2016,Euro,42290
Household median gross income,5047,Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown,2016,Euro,53416
Household median gross income,5048,Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown,2016,Euro,45078
Household median gross income,5049,Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown,2016,Euro,49502
Household median gross income,5050,Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown,2016,Euro,64242
Household median gross income,5051,Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown,2016,Euro,60196
Household median gross income,5052,Dún Laoghaire-West Central, Dún Laoghaire-Rathdown,2016,Euro,50770
Household median gross income,5053,Foxrock-Beechpark, Dún Laoghaire-Rathdown,2016,Euro,76640
Household median gross income,5054,Foxrock-Carrickmines, Dún Laoghaire-Rathdown,2016,Euro,90080
Household median gross income,5055,Foxrock-Deans Grange, Dún Laoghaire-Rathdown,2016,Euro,77742
Household median gross income,5056,Foxrock-Torquay, Dún Laoghaire-Rathdown,2016,Euro,92189
Household median gross income,5057,Glencullen, Dún Laoghaire-Rathdown,2016,Euro,74418
Household median gross income,5058,Killiney North, Dún Laoghaire-Rathdown,2016,Euro,78048
Household median gross income,5059,Killiney South, Dún Laoghaire-Rathdown,2016,Euro,48665
Household median gross income,5060,Shankill-Rathmichael, Dún Laoghaire-Rathdown,2016,Euro,60059
Household median gross income,5061,Shankill-Rathsallagh, Dún Laoghaire-Rathdown,2016,Euro,48313
Household median gross income,5062,Shankill-Shanganagh, Dún Laoghaire-Rathdown,2016,Euro,64827
Household median gross income,5063,Stillorgan-Deerpark, Dún Laoghaire-Rathdown,2016,Euro,83999
Household median gross income,5064,Stillorgan-Kilmacud, Dún Laoghaire-Rathdown,2016,Euro,70719
Household median gross income,5065,Stillorgan-Leopardstown, Dún Laoghaire-Rathdown,2016,Euro,80949
Household median gross income,5066,Stillorgan-Merville, Dún Laoghaire-Rathdown,2016,Euro,82500
Household median gross income,5067,Stillorgan-Mount Merrion, Dún Laoghaire-Rathdown,2016,Euro,90248
Household median gross income,5068,Stillorgan-Priory, Dún Laoghaire-Rathdown,2016,Euro,78957
Household median gross income,5069,Tibradden, Dún Laoghaire-Rathdown,2016,Euro,73162
